Guid,ContactId,AccountId,SuppliedName,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Subject,Priority,Description,ClosedDate,IsEscalated,Comments,Application__c,TypeDetail__c
00654d31-b2af-4e8d-aee8-f2d3bd5dfe02,7430fdb0-f039-49c6-bc40-e70e6da686d4,14cc64fe-9216-45ab-8a93-3df687d35746,#N/A,#N/A,#N/A,Question,On Hold,Complex functionality,How to schedule a usage report,Medium,How can we schedule usage reports to be emailed to managers each week?,#N/A,false,#N/A,#N/A,#N/A
00b05143-92a7-405a-b204-004ddc31816a,bf6a07db-8af4-4309-9d9b-f1d40eee7509,065f7197-60e5-4d10-a0ec-f2f5816afff7,#N/A,#N/A,#N/A,Question,Escalated,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
013a9da8-eb97-4a8b-8674-896418494769,b23762c3-a4be-44d0-8a2d-c2bfd91ac5cf,bd1e547b-5e66-46f7-86ff-501480d0f1f0,#N/A,#N/A,#N/A,Feature Request,Approved,Instructions not clear,Trouble using the xyz widget,High,I'm having trouble using the xyz widget....,#N/A,false,#N/A,#N/A,#N/A
01bfda7d-a5ed-427d-a14b-894b808d6f84,e17267fd-8ea1-4a24-ab00-443ba9c9e749,d52e313b-fb36-4327-8967-3e938a9cc862,#N/A,#N/A,#N/A,Feature Request,Approved,Complex Functionallity,Third Party Integrations,Medium,My company makes and app. Can we integrate it with your products?,#N/A,false,#N/A,#N/A,#N/A
02428a4c-19a4-42ae-a5b3-cc1b371673b1,05da2fba-cf51-4296-80ae-5668b34de575,81b825ec-df84-4f42-907b-02c39c802a0b,#N/A,#N/A,#N/A,Feature Request,Rejected,New problem,Waterproof Widgets don’t float,Low,After we received your new waterproof widgets we noticed they didn't float. What gives?,#N/A,false,#N/A,#N/A,#N/A
02778dbf-bf91-476a-9173-6fa4a65cd646,a13e578b-cf48-4563-82ea-ac092e95867e,02cc958d-8847-454e-abe2-238ebe49cdbc,#N/A,#N/A,#N/A,Problem,Rejected,New problem,Newest update cause an error,High,When I upgraded to the newest version some of my integrations broke,#N/A,false,#N/A,#N/A,#N/A
029fa74d-cae8-41b8-8430-9296f5aa4eb2,6666a003-4944-41bf-ac35-832aec20a98e,065f7197-60e5-4d10-a0ec-f2f5816afff7,#N/A,#N/A,#N/A,Question,New,User didn't attend training,Can I delete all my profiles?,Medium,I was wondering if It is possible to o delete my profiles and start from scratch?,#N/A,false,#N/A,#N/A,#N/A
02ace67c-8fe4-49e3-93c9-60b9d7cf7672,53acf4e6-776a-4e7f-a141-e90404cfead9,4926556e-5116-4a28-aeac-2fb73cdf2e3e,#N/A,#N/A,#N/A,Feature Request,Escalated,Instructions not clear,Login credentials,Medium,I have forgotten my login. Please send me new credentials.,#N/A,false,#N/A,#N/A,#N/A
02cdbce8-f3cd-45df-80c2-1ea4d6398869,92b6f56f-3b8e-4c74-af4b-84546afd8c51,a802a625-4080-40fb-b088-19efb18331a7,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
02d2b4d2-546f-44c3-a395-9fc43c840002,db5ed270-d90a-436c-8863-b567ac3f9368,72c0aaf1-7f4d-4f3f-a5ba-f9b5bca3e544,#N/A,#N/A,#N/A,Feature Request,Rejected,Instructions not clear,How do we restrict access?,Medium,I'd like to block access to company analytics for certain users of the Inventory Management Suite.,#N/A,false,#N/A,#N/A,#N/A
