Guid,AccountId,Name,Description,StageName,Amount,Probability,CloseDate,Type,NextStep,LeadSource,ForecastCategoryName,IsExcludedFromTerritory2Filter,SBQQ__Contracted__c,SBQQ__CreateContractedPrices__c,SBQQ__OrderGroupID__c,SBQQ__Ordered__c,SBQQ__QuotePricebookId__c,SBQQ__Renewal__c,sbaa__ApprovalStatus__c,sbaa__ApprovalStep__c,sbaa__StepApproved__c,sbaa__SubmittedDate__c
0142c4b7-8ac7-400b-8753-29833bd27544,b8863ac4-6727-426b-a0d3-8ba897ffc82c,Zoovu - Upsell,#N/A,Qualification,75000.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
019d9f1e-648b-45c3-a030-dd331815d9cd,a802a625-4080-40fb-b088-19efb18331a7,Talane - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2025-12-06,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
01b9d86d-b1fb-4f21-8ccf-532f0d02b4b7,238c31e0-7d3e-4c86-be61-0973ae9a9ca8,Divavu - Cross-sell,#N/A,Proposal/Price Quote,22975.0,75.0,2026-02-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0202ad8c-615b-4b14-9266-a986b7e77281,9d67cd35-a2c2-49ca-b630-66d2a191fc57,Quire - Upsell,#N/A,Qualification,75000.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
027d8e48-a285-47fb-a2b3-3e08bce04197,ded082ee-40ee-4f25-95c4-c5a66b7a5ddd,Topicblabh-Sto Associates - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2025-07-23,#N/A,#N/A,#N/A,Omitted,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0285a5c9-42d0-4d88-bab9-5060e351bb31,f345e646-1faf-4bd9-a008-5705837514d5,Babbleopia - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2026-02-03,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
03bee5c2-f19c-403d-a43b-e6a01fdcac9a,9c0595c3-f3ba-42af-9761-1f1cf81dadac,Tazz - Upsell,#N/A,Qualification,100082.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
041c744d-f9e4-46aa-838d-0575926ba7da,84e06c4d-1c48-4d2f-885e-60940b99db6f,Bluejam - Upsell,#N/A,Qualification,75000.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
04772a7f-3b9c-4bba-a1dd-6eb7713c2520,d4cc3959-3472-4eb9-bfe9-a9b15f836a50,Browsebug - Additional Sale,#N/A,Id. Decision Makers,34995.0,60.0,2026-05-25,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
049486ba-fa04-4dde-bec5-be7c96f1ad3f,ba05f0c8-79fb-4835-aaa0-a376e1689fd0,Quinu - Additional Sale,#N/A,Closed Won,29995.0,100.0,2025-06-05,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
04eed1be-5033-45de-969b-a895b1d08afd,862e7135-eb38-4c92-98f1-91563ad5f008,Browsedrive - Additional Sale,#N/A,Closed Won,72395.0,100.0,2024-05-09,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
066779eb-5db8-4eee-8b40-9fbc8dd3a03d,9505ec67-fc3a-4100-b982-4d5a6c4cdb4a,Quimm - SOW 3,#N/A,Negotiation/Review,15200.0,90.0,2026-02-05,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0969095d-199d-4184-8518-4c1ee9e25ce2,c935334b-cb9e-4908-9239-77fd3b8b88a3,Meevee - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2026-02-03,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
097a22fe-d003-4af2-98e6-6c67672e49a3,9a5c0462-7d1b-4249-b38b-d8fee3a52a45,Vitz - Additional Sale,#N/A,Closed Won,29995.0,100.0,2025-07-26,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0983a25b-fb13-4f80-bd85-d83050df9aaa,026612b2-880f-4457-a934-74c082417120,Browsecat - Cross-sell-sell,#N/A,Proposal/Price Quote,11250.0,75.0,2026-02-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0a26f826-e1f7-4f63-87f7-2bd51220fb3f,203ff87e-cb03-4dea-bf22-5ec94453d3c1,Layo - Cross-sell,#N/A,Proposal/Price Quote,18050.0,75.0,2026-02-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0b16046b-9826-4f4f-bfba-5f5f96b852d5,717e985c-df4a-4a56-8332-d6b04aa98159,Twitterwire - Additional Sale,#N/A,Closed Won,72395.0,100.0,2024-08-08,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0b186e1f-dafd-45d1-8c4f-6a5abd43d652,f6e099b5-20c2-41f3-b0c8-057d41b59d50,Kimia - Upsell,#N/A,Qualification,75000.0,10.0,2026-03-27,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0b6accd4-29f1-4565-b399-c48dae1965fa,02cc958d-8847-454e-abe2-238ebe49cdbc,Trudoo - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2025-12-06,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0c053069-3ab6-4be9-9644-26407fa5cdc9,d49afe24-72f2-4708-a033-1965ef512787,Edgeclub - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2025-12-06,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0d98f4ca-6d2f-4bd8-9b57-98572c5f6c6b,bd5e2e4b-0734-45b9-a427-837ec4999aba,Mydo - Upsell,#N/A,Qualification,100082.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0de16650-ff5e-4abd-a252-b692ce970604,d52e313b-fb36-4327-8967-3e938a9cc862,Jaxworks - Upsell,#N/A,Perception Analysis,100082.0,70.0,2026-02-25,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0dea53cc-97f4-4d09-9c0b-7486c007fde3,9c0595c3-f3ba-42af-9761-1f1cf81dadac,Tazz - Initial Sale,#N/A,Prospecting,72395.0,10.0,2026-02-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0e00e5b2-7588-4674-b642-5fb59f7d219f,5b337efc-12b2-4792-89fc-2ebee809d272,Dynazzy - Additional Sale,#N/A,Closed Won,29995.0,100.0,2025-09-23,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0e89cead-77e7-4e67-94c6-999064f34d8e,cab1e820-8748-47b1-9166-c8b4d5da7a11,Jetpulse - Upsell,#N/A,Qualification,100082.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0f0dde7f-b30e-47db-bfa2-6bd2049d8595,64cfb4a0-32fe-46ff-b890-cacf1f5924bc,Rhynyx - Additional Sale,#N/A,Closed Lost,69995.0,0.0,2025-09-22,#N/A,#N/A,#N/A,Omitted,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0fbdb60c-78af-4dd7-8d6b-eda351a00f8a,065f7197-60e5-4d10-a0ec-f2f5816afff7,Aibox - Secondary Sale,#N/A,Closed Won,32395.00000002,100.0,2026-02-03,#N/A,#N/A,#N/A,Closed,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
0fe573c2-3a4a-4910-8b31-d206cc8f062b,862e7135-eb38-4c92-98f1-91563ad5f008,Browsedrive - Cross-sell,#N/A,Proposal/Price Quote,11550.0,75.0,2026-02-19,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
10976963-9328-4b1a-8359-2108db20e9a0,55894b8e-12e0-4fa7-9101-252f247b50fb,Mycat - Upsell,#N/A,Qualification,75000.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
10a22aad-34c3-4c65-9773-80271cdc38df,86fe5665-9155-4eff-a952-786b9665b5a7,Avaveo - Upsell,#N/A,Qualification,100082.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
11ee4e2c-b613-4539-8e4c-7480fb4f21df,ff87b527-9b1f-4ed3-81d6-5ba63359af75,Dabfeed - Upsell,#N/A,Qualification,75000.0,10.0,2026-04-11,#N/A,#N/A,#N/A,Pipeline,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
13148766-98fa-4f00-9c7f-d8bfdcc43c64,6b76f960-354d-4fc6-a5b3-ce6ae11b2021,Myworks - Initial Sale,#N/A,Closed Lost,72395.0,0.0,2025-07-08,#N/A,#N/A,#N/A,Omitted,false,false,false,#N/A,false,#N/A,false,#N/A,#N/A,false,#N/A
